Player,Stat,Bet,opponent,Betting Over?,Correct,Pred,flag,username,timestamp
Seth Curry,PTS,12,Hawks,True,,,,,2023-11-15 01:14:52.891206
Hawks,Pelicans,100,True,True,,,,,2023-11-15 01:15:40.383515
